PMID,ISSN,JournalTitle,ISOAbbreviation,ArticleTitle,Authors,Year,Month,Day
1,0006-2944,Biochemical medicine,Biochem Med,Formate assay in body fluids: application in methanol poisoning.,"Makar, A B, AB; McMartin, K E, KE; Palese, M, M; Tephly, T R, TR",1975,Jun,NA
2,1090-2104,Biochemical and biophysical research communications,Biochem Biophys Res Commun,Delineation of the intimate details of the backbone conformation of pyridine nucleotide coenzymes in aqueous solution.,"Bose, K S, KS; Sarma, R H, RH",1975,Oct,27
3,0006-291X,Biochemical and biophysical research communications,Biochem Biophys Res Commun,Metal substitutions incarbonic anhydrase: a halide ion probe study.,"Smith, R J, RJ; Bryant, R G, RG",1975,Oct,27
4,1090-2104,Biochemical and biophysical research communications,Biochem Biophys Res Commun,Effect of chloroquine on cultured fibroblasts: release of lysosomal hydrolases and inhibition of their uptake.,"Wiesmann, U N, UN; DiDonato, S, S; Herschkowitz, N N, NN",1975,Oct,27
5,1090-2104,Biochemical and biophysical research communications,Biochem Biophys Res Commun,Atomic models for the polypeptide backbones of myohemerythrin and hemerythrin.,"Hendrickson, W A, WA; Ward, K B, KB",1975,Oct,27
6,0006-291X,Biochemical and biophysical research communications,Biochem Biophys Res Commun,Studies of oxygen binding energy to hemoglobin molecule.,"Chow, Y W, YW; Pietranico, R, R; Mukerji, A, A",1975,Oct,27
7,1873-2968,Biochemical pharmacology,Biochem Pharmacol,Maturation of the adrenal medulla--IV. Effects of morphine.,"Anderson, T R, TR; Slotkin, T A, TA",1975,Aug,15
8,1873-2968,Biochemical pharmacology,Biochem Pharmacol,Comparison between procaine and isocarboxazid metabolism in vitro by a liver microsomal amidase-esterase.,"Moroi, K, K; Sato, T, T",1975,Aug,15
9,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Radiochemical assay of glutathione S-epoxide transferase and its enhancement by phenobarbital in rat liver in vivo.,"Marniemi, J, J; Parkki, M G, MG",1975,Sep,01
10,1873-2968,Biochemical pharmacology,Biochem Pharmacol,Digitoxin metabolism by rat liver microsomes.,"Schmoldt, A, A; Benthe, H F, HF; Haberland, G, G",1975,Sep,01
11,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Identification of adenylate cyclase-coupled beta-adrenergic receptors with radiolabeled beta-adrenergic antagonists.,"Lefkowitz, R J, RJ",1975,Sep,15
12,0006-2952,Biochemical pharmacology,Biochem Pharmacol,The effect of adrenaline and of alpha- and beta-adrenergic blocking agents on ATP concentration and on incorporation of 32Pi into ATP in rat fat cells.,"Stein, J M, JM",1975,Sep,15
13,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Action of propranolol on mitochondrial functions--effects on energized ion fluxes in the presence of valinomycin.,"Järvisalo, J, J; Saris, N E, NE",1975,Sep,15
14,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Malathion A and B esterases of mouse liver-I.,"Bhagwat, V M, VM; Ramachandran, B V, BV",1975,Sep,15
15,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Increase in acetyl CoA synthetase activity after phenobarbital treatment.,"Akamatsu, N, N; Nakajima, H, H; Ono, M, M; Miura, Y, Y",1975,Sep,15
16,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Inhibition of aldehyde reductase by acidic metabolites of the biogenic amines.,"Turner, A J, AJ; Hick, P E, PE",1975,Sep,15
